train_no,type,is_express,ms,origin,dest,start_time,end_time,duration_str,dist_km,stops_count,skipped_count,speed_kmh,sdi,note
272,自強,True,山,苗栗,花蓮,05:24,10:40,5時16分,28.80000000000001,34,12,5.47,118.06,
102,自強,True,山,斗六,七堵,04:57,08:49,3時52分,249.29999999999998,18,15,64.47,7.22,
472,自強3000,True,山,員林,臺東,06:00,13:06,7時06分,97.70000000000002,35,41,13.76,35.82,
278,自強3000,True,海,彰化,花蓮,06:48,11:58,5時10分,43.0,25,29,8.32,58.14,
270,自強,True,山,嘉義,花蓮,05:52,12:53,7時01分,123.9,36,28,17.66,29.06,
280,自強3000,True,山,斗六,花蓮,06:51,12:11,5時20分,89.99999999999997,20,40,16.87,22.22,
108,自強3000,True,山,潮州,七堵,05:28,11:07,5時39分,395.2,28,26,69.95,7.09,
198,自強,True,,潮州,新營,05:37,07:21,1時44分,122.30000000000001,10,7,70.56,8.18,逢週一至五行駛。
112,自強,True,海,潮州,基隆,06:10,12:50,6時40分,395.2,29,27,59.28,7.34,親子車廂
110,自強3000,True,山,潮州,七堵,06:22,11:27,5時05分,395.2,15,39,77.74,3.8,親子座
162,自強3000,True,山,臺東,七堵,07:24,07:57,0時33分,34.0,25,50,61.82,73.53,
114,自強,True,山,潮州,七堵,07:30,13:33,6時03分,395.2,26,28,65.32,6.58,親子車廂
178,普悠瑪,True,海,高雄,松山,08:42,13:54,5時12分,382.9,33,13,73.63,8.62,
116,自強3000,True,山,潮州,七堵,08:50,14:25,5時35分,395.2,26,28,70.78,6.58,
164,自強3000,True,山,臺東,七堵,09:16,09:58,0時42分,43.5,35,40,62.14,80.46,
118,自強,True,山,屏東,七堵,09:39,15:33,5時54分,395.2,26,26,66.98,6.58,
120,自強3000,True,海,潮州,七堵,10:00,15:51,5時51分,395.2,28,26,67.56,7.09,
172,自強3000,True,山,潮州,七堵,10:39,16:16,5時37分,395.2,25,29,70.36,6.33,親子座
148,普悠瑪,True,山,彰化,南港,14:05,16:24,2時19分,188.9,8,17,81.54,4.24,逢週六、日行駛。
180,自強3000,True,海,潮州,七堵,11:14,17:20,6時06分,395.2,32,22,64.79,8.1,
122,自強,True,山,潮州,基隆,11:22,17:56,6時34分,395.2,29,27,60.18,7.34,親子車廂
124,普悠瑪,True,山,潮州,松山,12:02,16:24,4時22分,375.0,12,39,85.88,3.2,
176,自強,True,山,潮州,瑞芳,12:16,18:39,6時23分,423.7,30,35,66.38,7.08,
282,普悠瑪,True,山,彰化,花蓮,15:42,19:59,4時17分,43.0,15,39,10.04,34.88,
128,自強,True,山,潮州,基隆,12:47,19:17,6時30分,395.2,28,28,60.8,7.09,
130,自強,True,海,彰化,基隆,15:55,19:43,3時48分,210.9,19,10,55.5,9.01,逢週日停駛。
126,自強,True,海,斗南,七堵,15:08,19:26,4時18分,256.79999999999995,19,15,59.72,7.4,逢週日行駛。
182,自強,True,山,彰化,七堵,16:30,19:57,3時27分,202.3,15,12,58.64,7.41,逢週日行駛。
194,自強3000,True,山,斗六,七堵,16:19,19:45,3時26分,249.29999999999998,14,19,72.61,5.62,
554,莒光,True,海,潮州,花蓮,12:57,00:53,11時56分,273.79999999999995,62,19,22.94,22.64,在和平跨日。
132,自強3000,True,山,枋寮,七堵,13:45,18:45,5時00分,433.09999999999997,14,40,86.62,3.23,
134,自強,True,山,屏東,基隆,14:04,20:28,6時24分,395.2,30,24,61.75,7.59,
138,自強,True,山,屏東,七堵,15:08,21:04,5時56分,395.2,24,28,66.61,6.07,
136,自強3000,True,山,潮州,七堵,15:25,20:27,5時02分,395.2,14,40,78.52,3.54,
158,自強,True,海,彰化,七堵,18:06,21:31,3時25分,202.3,17,10,59.21,8.4,逢週五至日行駛。親子車廂
142,自強,True,山,潮州,七堵,15:31,21:45,6時14分,395.2,27,27,63.4,6.83,
288,普悠瑪,True,山,彰化,花蓮,19:10,23:39,4時29分,43.0,19,35,9.59,44.19,
144,自強3000,True,山,潮州,基隆,16:38,22:30,5時52分,395.2,30,26,67.36,7.59,親子座
146,自強3000,True,海,潮州,七堵,16:50,22:51,6時01分,395.2,28,26,65.68,7.09,
168,自強3000,True,山,臺東,七堵,17:20,17:58,0時38分,43.5,31,44,68.68,71.26,
150,自強,True,山,屏東,七堵,17:48,23:51,6時03分,395.2,27,25,65.32,6.83,親子車廂
154,自強3000,True,山,潮州,南港,18:14,23:01,4時47分,377.8,13,39,78.98,3.44,
152,自強,True,山,潮州,汐止,18:27,00:23,5時56分,424.09999999999997,26,27,71.48,6.13,在臺北跨日。
386,自強3000,True,山,臺東,臺中,19:05,19:45,0時40分,43.5,24,27,65.25,55.17,
324,自強3000,True,,花蓮,臺南,19:30,20:00,0時30分,28.5,19,36,57.0,66.67,親子座
196,自強3000,True,山,潮州,臺中,19:48,22:50,3時02分,249.29999999999998,13,17,82.19,5.21,
156,自強,True,,屏東,嘉義,20:43,22:34,1時51分,134.89999999999998,11,5,72.92,8.15,
301,自強3000,True,,臺南,花蓮,06:30,09:22,2時52分,0.0,23,32,0.0,0.0,
