Col 0: Header=[車] | Row23=[區間車]
Col 1: Header=[區                                                                                                                                                                                                                                                             次] | Row23=[nan]
Col 2: Header=[] | Row23=[4152.0]
Col 3: Header=[站名間] | Row23=[楊梅－福隆]
Col 4: Header=[臺北] | Row23=[07:50]
Col 5: Header=[松山] | Row23=[07:57]
Col 6: Header=[七堵] | Row23=[08:30]
Col 7: Header=[八堵] | Row23=[08:35]
Col 8: Header=[暖暖] | Row23=[08:38]
Col 9: Header=[四腳亭] | Row23=[08:42]
Col 10: Header=[瑞芳] | Row23=[08:48]
Col 11: Header=[猴硐] | Row23=[08:54]
Col 12: Header=[三貂嶺] | Row23=[08:58]
Col 13: Header=[牡丹] | Row23=[09:03]
Col 14: Header=[雙溪] | Row23=[09:08]
Col 15: Header=[貢寮] | Row23=[09:13]
Col 16: Header=[福隆] | Row23=[09:18]
Col 17: Header=[石城] | Row23=[nan]
Col 18: Header=[大里] | Row23=[nan]
Col 19: Header=[大溪] | Row23=[nan]
Col 20: Header=[龜山] | Row23=[nan]
Col 21: Header=[外澳] | Row23=[nan]
Col 22: Header=[頭城] | Row23=[nan]
Col 23: Header=[頂埔] | Row23=[nan]
Col 24: Header=[礁溪] | Row23=[nan]
Col 25: Header=[四城] | Row23=[nan]
Col 26: Header=[宜蘭] | Row23=[nan]
Col 27: Header=[二結] | Row23=[nan]
Col 28: Header=[中里] | Row23=[nan]
Col 29: Header=[羅東] | Row23=[nan]
Col 30: Header=[冬山] | Row23=[nan]
Col 31: Header=[新馬] | Row23=[nan]
Col 32: Header=[蘇澳新] | Row23=[nan]
Col 33: Header=[蘇澳] | Row23=[nan]
