Col 0: Header=[車區間車] | Row18=[區間車]
Col 1: Header=[區次] | Row18=[nan]
Col 2: Header=[4128.0] | Row18=[4152.0]
Col 3: Header=[] | Row18=[nan]
Col 4: Header=[站名間樹林－蘇澳] | Row18=[楊梅－福隆]
Col 5: Header=[新竹] | Row18=[nan]
Col 6: Header=[北新竹] | Row18=[nan]
Col 7: Header=[竹北] | Row18=[nan]
Col 8: Header=[新豐] | Row18=[nan]
Col 9: Header=[湖口] | Row18=[nan]
Col 10: Header=[北湖] | Row18=[nan]
Col 11: Header=[新富] | Row18=[nan]
Col 12: Header=[富岡] | Row18=[nan]
Col 13: Header=[楊梅] | Row18=[06:40]
Col 14: Header=[埔心] | Row18=[06:45]
Col 15: Header=[中壢] | Row18=[06:54]
Col 16: Header=[內壢] | Row18=[06:58]
Col 17: Header=[桃園] | Row18=[07:06]
Col 18: Header=[鳳鳴] | Row18=[07:11]
Col 19: Header=[鶯歌] | Row18=[07:17]
Col 20: Header=[山佳] | Row18=[07:22]
Col 21: Header=[南樹林] | Row18=[07:25]
Col 22: Header=[樹林05:05] | Row18=[07:30]
Col 23: Header=[浮洲05:10] | Row18=[07:34]
Col 24: Header=[板橋05:14] | Row18=[07:38]
Col 25: Header=[萬華05:19] | Row18=[07:43]
Col 26: Header=[臺北05:26] | Row18=[07:50]
Col 27: Header=[松山05:33] | Row18=[07:57]
Col 28: Header=[南港05:36] | Row18=[08:01]
Col 29: Header=[汐科05:42] | Row18=[08:07]
Col 30: Header=[汐止05:45] | Row18=[08:13]
Col 31: Header=[五堵05:47] | Row18=[08:15]
Col 32: Header=[百福05:51] | Row18=[08:19]
Col 33: Header=[七堵05:56] | Row18=[08:30]
Col 34: Header=[八堵06:00] | Row18=[08:35]
Col 35: Header=[三坑] | Row18=[nan]
Col 36: Header=[基隆] | Row18=[nan]
