Train 113
0 七堵Qidu
1 汐止Xizhi
2 松山Songshan
3 臺北Taipei
4 板橋Banqiao
5 桃園Taoyuan
6 中壢Zhongli
7 新竹Hsinchu
8 竹南Zhu
9 後龍Houlong
10 通霄Tongxiao
11 苑裡Yuanli
12 大甲Dajia
13 清水Qingshui
14 沙鹿Shalu
15 彰化Changhua
Train 117
0 基隆Keelung
1 八堵Badu
2 七堵Qidu
3 汐止Xizhi
4 南港Nangang
5 松山Songshan
6 臺北Taipei
7 板橋Banqiao
8 桃園Taoyuan
9 中壢Zhongli
10 新竹Hsinchu
11 竹南Zhu
12 後龍Houlong
13 大甲Dajia
14 沙鹿Shalu
15 彰化Changhua
16 員林Yuanlin
17 斗六Douliu
18 民雄Minxiong
19 嘉義Chiayi
20 新營Xinying
21 臺南Tai
22 岡山Gangshan
23 新左營Xinzuoying
24 高雄
25 鳳山Fengshan
26 九曲堂Jiuqutang
27 屏東Pingtung
28 潮州Chaozhou
